Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],
World,WLD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.078050528,..,..,..,..,..,..,..,..,..,8.635395711,..,..,..,..,..,..,..,..,..,..,..,..,..,12.18170699,..,
World,WLD,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.210519124,..,..,..,..,..,..,..,..,..,11.34970539,..,..,..,..,..,..,..,..,..,..,..,..,..,14.81324551,..,
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.64918527,..,..,..,..,..,..,..,..,..,79.31317384,..,..,..,..,..,..,..,..,..,83.07864541,..,84.58465175,..,..,..,
World,WLD,Forest area (sq. km),AG.LND.FRST.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41282694.8,41210027.6,41137360.3,41064693.1,40992025.8,40919358.5,40846691.3,40774024,40701356.8,40628689.5,40556022.2,40510303.2,40464584.1,40418865,40373145.9,40327426.9,40293287.4,40259148,40225008.5,40190869.1,40156729.6,40123650.9,40090572.3,40057493.6,40024414.9,39991336.2,
World,WLD,CO2 emissions (kt),EN.ATM.CO2E.KT,9385792.843,9419463.237,9808656.615,10347089.56,10939720.76,11426753.37,11993620.23,12378853.25,13011678.44,13792038.04,14789733.4,15350300.36,15952667.44,16834514.94,16952269.64,16853249.64,17835998.31,18393371.31,18606020.64,19643807.31,19438422.3,18840587.63,18679191.95,18609452.95,19280447.94,19863328.59,20471999.26,20992676.59,21766336.58,22242859.56,22352939.23,22627491.19,22403367.82,22381538.17,22760830.65,23258105.18,23796153.09,24155273.4,24095857,24051853,24667909,25250962,25470982,27014789,28364245,29427675,30461769,31125496,32042246,31686547,33505379,34865836,35463557,35848592,..,..,
World,WLD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,94.1345468,94.09571954,94.21763357,94.42413857,94.5373993,94.52379554,94.43048498,94.56634525,94.56557654,94.63801786,94.54807463,84.46807019,84.35224895,84.78916571,84.16548667,83.41812045,83.82065229,83.47220501,83.28506131,83.36233387,82.70403081,81.68782765,81.00349085,80.32539169,79.7801724,79.06845877,78.77219994,78.73336641,78.76130202,78.7402332,80.77060681,80.35202237,80.11938877,80.00347302,79.81530304,79.85306112,79.8583555,80.00141137,79.79323309,79.75931014,79.93801029,80.02566246,80.09593916,80.55856925,80.68992418,80.7271823,80.8196533,81.08766416,80.89533421,80.5934582,80.72061521,81.10825891,81.1370255,81.20277184,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
