Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
World,WLD,"Bird species, threatened",EN.BIR.THRD.NO,4393
World,WLD,"Fish species, threatened",EN.FSH.THRD.NO,8124
World,WLD,"Mammal species, threatened",EN.MAM.THRD.NO,3406
World,WLD,"Plant species (higher), threatened",EN.HPT.THRD.NO,15056
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 01/03/2017,,,,
